JOBCODE,SERVDATE,MCCODE,SERVCODE,ATDATE,PDATE,REMARK,WorkDone,jobstatus
9247,29/06/2010,49,111,29/06/2010,30/05/2010, ,FINISH,F
9265,30/06/2010,121,113,27/06/2010,30/03/2010, ,FINISH,F
9266,30/06/2010,121,160,27/06/2010,30/05/2010, ,FINISH,F
9264,30/06/2010,121,94,27/06/2010,30/05/2010, ,FINISH,F
9281,30/06/2010,122,80,30/06/2010,31/05/2010, ,FINISH,F
9275,30/06/2010,125,35,14/05/2010,30/03/2010, ,FINISH,F
9259,30/06/2010,49,121,29/06/2010,30/09/2009, ,FINISH,F
9263,30/06/2010,51,121,14/06/2010,30/09/2009, ,FINISH,F
9279,30/06/2010,35,32,21/06/2010,30/06/2009, ,FINISH,F
9267,30/06/2010,86,1,25/06/2010,30/12/2009, ,FINISH,F
9269,30/06/2010,94,6,29/06/2010,31/03/2010, ,FINISH,F
9268,30/06/2010,7,7,30/06/2010,30/12/2009, ,FINISH,F
9261,30/06/2010,49,94,29/06/2010,30/05/2010, ,FINISH,F
9271,30/06/2010,95,6,28/06/2010,31/03/2010, ,FINISH,F
9262,30/06/2010,49,114,29/06/2010,30/12/2009, ,FINISH,F
9280,30/06/2010,35,90,21/06/2010,30/03/2010, ,FINISH,F
9260,30/06/2010,49,112,29/06/2010,31/03/2010, ,FINISH,F
9253,02/07/2010,38,76,12/06/2010,09/06/2010, ,FINISH,F
9255,28/06/2010,24,88,30/06/2010,14/06/2010, ,FINISH,F
9257,28/06/2010,105,88,30/06/2010,14/06/2010, ,FINISH,F
9258,28/06/2010,120,88,30/06/2010,14/06/2010, ,FINISH,F
9256,28/06/2010,25,88,28/06/2010,14/06/2010, ,FINISH,F
9254,28/06/2010,23,88,30/06/2010,14/06/2010, ,FINISH,F
9283,03/07/2010,27,105,06/07/2010,15/06/2010, ,FINISH,F
9274,02/07/2010,31,73,29/06/2010,15/06/2010, ,FINISH,F
9276,01/07/2010,125,73,30/06/2010,15/06/2010, ,FINISH,F
9193,04/07/2010,124,71,22/06/2010,13/06/2010, ,FINISH,F
9207,04/07/2010,82,71,22/06/2010,14/06/2010, ,FINISH,F
9210,26/06/2010,19,74,23/06/2010,14/06/2010, ,FINISH,F
9221,05/07/2010,85,71,23/06/2010,15/06/2010, ,FINISH,F
9220,05/07/2010,84,71,23/06/2010,15/06/2010, ,FINISH,F
9219,05/07/2010,83,71,23/06/2010,15/06/2010, ,FINISH,F
9230,04/07/2010,118,71,24/06/2010,16/06/2010, ,FINISH,F
9252,06/07/2010,117,71,24/06/2010,17/06/2010, ,FINISH,F
9251,07/07/2010,112,71,25/06/2010,17/06/2010, ,FINISH,F
9278,28/06/2010,106,74,30/06/2010,18/06/2010, ,FINISH,F
9272,08/07/2010,96,71,26/06/2010,18/06/2010, ,FINISH,F
9270,10/07/2010,95,71,28/06/2010,18/06/2010, ,FINISH,F
9277,28/06/2010,92,74,30/06/2010,18/06/2010, ,FINISH,F
9282,28/06/2010,23,75,30/06/2010,18/06/2010, ,FINISH,F
9383,22/07/2010,87,78,24/07/2010,07/07/2010, ,F,F
9384,24/07/2010,108,70,31/07/2010,09/07/2010, ,F,F
9385,25/07/2010,86,79,31/07/2010,10/07/2010, ,F,F
9386,27/07/2010,4,77,31/07/2010,11/07/2010, ,F,F
9387,29/07/2010,5,70,28/07/2010,13/07/2010, ,FINISH,F
9388,05/08/2010,97,165,30/07/2010,16/07/2010, ,F,F
9389,04/07/2010,82,71,07/07/2010,22/06/2010, ,F,F
9390,04/07/2010,124,71,09/07/2010,22/06/2010, ,F,F
9391,05/07/2010,82,17,07/07/2010,21/05/2010, ,FINISH,F
9392,05/07/2010,83,71,07/07/2010,23/06/2010, ,F,F
9393,05/07/2010,84,71,08/07/2010,23/06/2010, ,F,F
9394,05/07/2010,85,71,08/07/2010,23/06/2010, ,F,F
9395,05/07/2010,93,71,09/07/2010,23/06/2010, ,F,F
9396,06/07/2010,18,6,23/07/2010,06/04/2010, ,F,F
9397,06/07/2010,117,71,10/07/2010,24/06/2010, ,F,F
9398,16/07/2010,118,71,10/07/2010,24/06/2010, ,F,F
9400,07/07/2010,118,17,10/07/2010,23/05/2010, ,F,F
9399,07/07/2010,112,71,10/07/2010,25/06/2010, ,F,F
9401,07/07/2010,124,6,10/07/2010,07/04/2010, ,F,F
9402,08/07/2010,96,71,12/07/2010,26/06/2010, ,F,F
